MN,HD,HR,HIP,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,pmRA,pmDec,RadVel,Parallax,Vmag,B-V,SpType,IsMultiple,IsVariable,UpdateName
4525,72184,3360,0,HD 72184,HD 72184/HR 3360,,,,,128.22916666666666,38.01638888888889,-103.0,-169.0,15.0,11.0,5.9,1.11,K2III,0.0,0.0,
4526,74273,3453,0,HD 74273,HD 74273/HR 3453,,,,,130.27208333333334,-48.9225,-5.0,7.0,18.0,,5.9,-0.21,B1.5V,0.0,0.0,
4527,88809,4015,50103,RST 1488,HD 88809/HR 4015/RST 1488,,,,,153.44125,-40.34583333333334,-78.0,17.0,18.0,,5.9,1.21,K1III,0.0,0.0,
4528,89904,4075,50860,27 LMi,27 LMi/HD 89904/HR 4075,,,27 LMi,LMi,155.77624999999998,33.90805555555556,-13.0,-5.0,-15.0,,5.9,0.14,A6V,0.0,0.0,
4529,91130,4124,51556,h LMi,33 LMi/HD 91130/HJ 482/HR 4124/h LMi,,,33 LMi,LMi,157.96416666666667,32.379444444444445,15.0,6.0,-15.0,,5.9,0.11,A0IV,0.0,0.0,
4530,100382,4448,0,HD 100382,HD 100382/HR 4448,,,,,173.08291666666665,-66.96222222222222,-4.0,-1.0,-11.0,,5.9,1.13,K1IIICNIb-II,0.0,0.0,
4531,107070,4681,60030,13 Vir,13 Vir/HD 107070/HR 4681,,,13 Vir,Vir,184.66791666666663,0.7872222222222223,29.0,-16.0,-14.0,,5.9,0.17,A5Vn,0.0,0.0,
4532,111973,4890,62931,κ Cru,HD 111973/HR 4890/Kap Cru/κ Cru,,κ Cru,,Cru,193.4545833333333,-60.37694444444445,4.0,-21.0,-4.0,,5.9,0.2,B5Ia,0.0,0.0,
4533,114570,4977,0,HD 114570,HD 114570/HR 4977,,,,,198.20375,-66.22694444444444,24.0,6.0,9.0,,5.9,0.06,A0Vm:,0.0,0.0,
4534,118354,5121,0,HD 118354,HD 118354/HR 5121,,,,,204.34875,-46.42833333333333,-9.0,-33.0,3.0,,5.9,-0.12,B8V,0.0,0.0,
