HD,HR,HIP,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,Vmag,IsMultiple,UpdateName
48915,2491,32349,Sirius,9 CMa/AGC 1/HL 3/HR 2491/LEC 1/α CMa/β 1411,Sirius,α CMa,9 CMa,CMa,101.287155,-16.716116,-1.45,0.0,2016-06-30
45348,2326,30438,Canopus,CRU 9006/HR 2326/MAM 2/α Car,Canopus,α Car,,Car,95.987958,-52.695661,-0.62,0.0,2016-06-30
124897,5340,69673,Arcturus,16 Boo/HR 5340/α Boo,Arcturus,α Boo,16 Boo,Boo,213.9153,19.182409,-0.05,0.0,2016-06-30
128620,5459,71683,Rigil Kentaurus,HR 5459/LDS 494/RHD 1/α Cen/α1 Cen,Rigil Kentaurus,α1 Cen,,Cen,219.902066,-60.833975,-0.01,0.0,2016-11-06
172167,7001,91262,Vega,3 Lyr/H 5 39/HR 7001/MBA 2/MET 11/SMR 33/Σ II 9/α Lyr,Vega,α Lyr,3 Lyr,Lyr,279.234735,38.783689,0.03,0.0,2016-06-30
34029,1708,24608,Capella,13 Aur/ANJ 1/BAR 25/FRH 1/HJ 2256/HR 1708/SHJ 51/SHY 23/SMR 26/α Aur/β 1392,Capella,α Aur,13 Aur,Aur,79.172328,45.997991,0.08,0.0,2016-06-30
34085,1713,24436,Rigel,19 Ori/HR 1713/Σ 668/β 555/β Ori,Rigel,β Ori,19 Ori,Ori,78.634467,-8.201638,0.18,0.0,2016-06-30
61421,2943,37279,Procyon,10 CMi/D 29/DIC 1/HR 2943/LAM 6/SHB 1/SLE 439/SMR 11/α CMi,Procyon,α CMi,10 CMi,CMi,114.825493,5.224993,0.4,0.0,2016-06-30
10144,472,7588,Achernar,HR 472/α Eri,Achernar,α Eri,,Eri,24.428523,-57.236753,0.45,0.0,2016-06-30
39801,2061,27989,Betelgeuse,58 Ori/H 6 39/HR 2061/KAR 1/SLE 831/SMR 29/α Ori,Betelgeuse,α Ori,58 Ori,Ori,88.792939,7.407064,0.45,0.0,2016-06-30
122451,5267,68702,Hadar,HR 5267/RBT 1/VOU 31/β Cen,Hadar,β Cen,,Cen,210.955856,-60.373035,0.61,0.0,2016-08-21
187642,7557,97649,Altair,53 Aql/DAL 27/GMC 5/HR 7557/SMR 5/Σ II 10/α Aql,Altair,α Aql,53 Aql,Aql,297.695827,8.868321,0.76,0.0,2016-06-30
29139,1457,21421,Aldebaran,87 Tau/HR 1457/Σ II 2/α Tau/β 1031/β 550,Aldebaran,α Tau,87 Tau,Tau,68.980163,16.509302,0.87,0.0,2016-06-30
116658,5056,65474,Spica,67 Vir/HR 5056/OCC 418/α Vir/β pm 150,Spica,α Vir,67 Vir,Vir,201.298247,-11.161319,0.98,0.0,2016-06-30
148478,6134,80763,Antares,21 Sco/GNT 1/HR 6134/α Sco,Antares,α Sco,21 Sco,Sco,247.351915,-26.432003,1.06,0.0,2016-06-30
62509,2990,37826,Pollux,78 Gem/H 6 42/HR 2990/Σ II 5/β 580/β Gem,Pollux,β Gem,78 Gem,Gem,116.328958,28.026199,1.16,0.0,2015-12-15
216956,8728,113368,Fomalhaut,24 PsA/79 Aqr/HR 8728/KAL 1/MAM 1/SHY 106/α PsA,Fomalhaut,α PsA,24 PsA,PsA,344.412693,-29.622237,1.17,0.0,2015-12-15
197345,7924,102098,Deneb,50 Cyg/H N 73/HR 7924/α Cyg,Deneb,α Cyg,50 Cyg,Cyg,310.35798,45.280339,1.25,0.0,2016-06-30
111123,4853,62434,Mimosa,ANT 8/HR 4853/I 362/Δ 125/β Cru,Mimosa,β Cru,,Cru,191.930263,-59.688764,1.25,0.0,2016-07-20
108248,4730,60718,Acrux,ANT 1/ANT 7/HD 108248/HD 108249/HIP 60718/HR 4730/HR 4731/SAO 251904/Δ 252/α Cru/α1 Cru/α1 Cru A/α1 Cru B/α2 Cru,Acrux,α1 Cru,,Cru,186.649563,-63.099093,1.33,1.0,2016-07-20
128621,5460,71681,Toliman,HR 5460/α Cen/α2 Cen,Toliman,α2 Cen,,Cen,219.896096,-60.837528,1.35,0.0,2018-08-10
87901,3982,49669,Regulus,32 Leo/HDO 127/HR 3982/Σ II 6/α Leo,Regulus,α Leo,32 Leo,Leo,152.092962,11.967209,1.36,0.0,2016-06-30
52089,2618,33579,Adhara,21 CMa/CPO 7/HR 2618/ε CMa,Adhara,ε CMa,21 CMa,CMa,104.656453,-28.972086,1.5,0.0,2016-08-21
108903,4763,61084,Gacrux,HR 4763/Δ 124/γ Cru,Gacrux,γ Cru,,Cru,187.791498,-57.113213,1.59,0.0,2016-07-20
35468,1790,25336,Bellatrix,24 Ori/HR 1790/JNN 4/β pm 78/γ Ori,Bellatrix,γ Ori,24 Ori,Ori,81.282764,6.349703,1.64,0.0,2016-06-30
35497,1791,25428,Elnath,112 Tau/23 Aur/BAR 26/HR 1791/JNN 5/OCC 115/β Tau/γ Aur,Elnath,β Tau,112 Tau,Tau,81.572971,28.607452,1.65,0.0,2016-07-20
80007,3685,45238,Miaplacidus,HR 3685/β Car,Miaplacidus,β Car,,Car,138.299906,-69.717208,1.67,0.0,2016-07-20
37128,1903,26311,Alnilam,46 Ori/HR 1903/β pm 81/ε Ori,Alnilam,ε Ori,46 Ori,Ori,84.053389,-1.201919,1.69,0.0,2016-07-20
209952,8425,109268,Alnair,HR 8425/RST 5483/α Gru,Alnair,α Gru,,Gru,332.05827,-46.960974,1.73,0.0,2016-07-20
37742,1948,26727,Alnitak,50 Ori/HD 37742/HD 37743/HIP 26727/HR 1948/HR 1949/NOI 1/SAO 132444/Σ 774/ζ Ori/ζ Ori A/ζ Ori B,Alnitak,ζ Ori,50 Ori,Ori,85.189694,-1.942574,1.74,1.0,2016-07-20
112185,4905,62956,Alioth,77 UMa/BLM 2/HR 4905/ε UMa,Alioth,ε UMa,77 UMa,UMa,193.50729,55.959823,1.76,0.0,2016-06-30
169022,6879,90185,Kaus Australis,20 Sgr/GOL 2/HR 6879/TOK 617/ε Sgr/λ 351,Kaus Australis,ε Sgr,20 Sgr,Sgr,276.042993,-34.384616,1.79,0.0,2016-07-20
20902,1017,15863,Mirfak,33 Per/HR 1017/α Per/β pm 44,Mirfak,α Per,33 Per,Per,51.080709,49.861179,1.79,0.0,2016-07-20
95689,4301,54061,Dubhe,50 UMa/HR 4301/α UMa/β 1077,Dubhe,α UMa,50 UMa,UMa,165.931965,61.751035,1.81,0.0,2016-06-30
54605,2693,34444,Wezen,25 CMa/HR 2693/β 1412/δ CMa,Wezen,δ CMa,25 CMa,CMa,107.09785,-26.3932,1.83,0.0,2016-07-20
120315,5191,67301,Alkaid,85 UMa/HR 5191/η UMa,Alkaid,η UMa,85 UMa,UMa,206.885157,49.313267,1.85,0.0,2016-06-30
71129,3307,41037,Avior,HDS 1190/HR 3307/ε Car,Avior,ε Car,,Car,125.62848,-59.509484,1.86,0.0,2016-07-20
159532,6553,86228,Sargas,HR 6553/θ Sco/λ 510,Sargas,θ Sco,,Sco,264.329711,-42.997824,1.86,0.0,2016-08-21
40183,2088,28360,Menkalinan,34 Aur/BAR 29/H 6 88/HR 2088/KOE 1/β Aur,Menkalinan,β Aur,34 Aur,Aur,89.882179,44.947433,1.9,0.0,2016-07-20
150798,6217,82273,Atria,HR 6217/WFC 179/α TrA,Atria,α TrA,,TrA,252.166229,-69.027712,1.91,0.0,2016-07-20
47105,2421,31681,Alhena,24 Gem/HR 2421/OCC 9011/β pm 90/γ Gem,Alhena,γ Gem,24 Gem,Gem,99.42796,16.39928,1.93,0.0,2016-07-20
193924,7790,100751,Peacock,HJ 5193/HR 7790/α Pav,Peacock,α Pav,,Pav,306.411904,-56.73509,1.94,0.0,2016-07-20
60179,2891,36850,Castor,66 Gem/HD 60178/HD 60179/HIP 36850/HR 2890/HR 2891/SAO 60198/Σ 1110/α Gem/α Gem A/α Gem B,Castor,α Gem,66 Gem,Gem,113.649428,31.888276,1.98,1.0,2016-06-30
44743,2294,30324,Mirzam,2 CMa/HR 2294/β CMa/β pm 88,Mirzam,β CMa,2 CMa,CMa,95.674939,-17.955919,1.98,0.0,2016-07-20
74956,3485,42913,Alsephina,HJ 4136/HR 3485/I 10/KEL 1/SHY 49/δ Vel,Alsephina,δ Vel,,Vel,131.175944,-54.708819,1.99,0.0,2017-09-05
81797,3748,46390,Alphard,30 Hya/H 6 111/HR 3748/α Hya,Alphard,α Hya,30 Hya,Hya,141.896847,-8.658602,1.99,0.0,2016-07-20
12929,617,9884,Hamal,13 Ari/HR 617/α Ari,Hamal,α Ari,13 Ari,Ari,31.793357,23.462418,2.01,0.0,2016-07-20
4128,188,3419,Diphda,16 Cet/HR 188/β Cet,Diphda,β Cet,16 Cet,Cet,10.897379,-17.986606,2.04,0.0,2016-08-21
175191,7121,92855,Nunki,34 Sgr/BED 1/HR 7121/SMY 4/σ Sgr,Nunki,σ Sgr,34 Sgr,Sgr,283.81636,-26.296724,2.05,0.0,2016-08-21
123139,5288,68933,Menkent,5 Cen/HR 5288/Δ 253/θ Cen/λ 196,Menkent,θ Cen,5 Cen,Cen,211.670617,-36.369958,2.06,0.0,2016-08-21
131873,5563,72607,Kochab,7 UMi/HR 5563/β UMi/β pm 159,Kochab,β UMi,7 UMi,UMi,222.676357,74.155504,2.07,0.0,2016-07-20
358,15,677,Alpheratz,21 And/H 5 32/HR 15/JNN 1/MKT 11/α And/δ Peg,Alpheratz,α And,21 And,And,2.096916,29.090431,2.07,0.0,2016-06-30
38771,2004,27366,Saiph,53 Ori/HR 2004/κ Ori,Saiph,κ Ori,53 Ori,Ori,86.93912,-9.669605,2.07,0.0,2016-07-20
6860,337,5447,Mirach,43 And/BAR 1/DAL 39/HR 337/β And,Mirach,β And,43 And,And,17.433013,35.620557,2.07,0.0,2016-06-30
158926,6527,85927,Shaula,35 Sco/HR 6527/TNG 1/Δ 218/λ 334/λ Sco,Shaula,λ Sco,35 Sco,Sco,263.402167,-37.103824,2.08,0.0,2016-07-20
159561,6556,86032,Rasalhague,55 Oph/HR 6556/MCY 4/α Oph,Rasalhague,α Oph,55 Oph,Oph,263.733627,12.560035,2.08,0.0,2016-07-20
19356,936,14576,Algol,26 Per/CSI 1/DAL 46/HR 936/JNN 3/LAB 2/β 526/β Per,Algol,β Per,26 Per,Per,47.042215,40.955648,2.09,0.0,2016-06-30
12533,603,9640,Almach,57 And/BAR 22/HD 12533/HD 12534/HIP 9640/HR 603/HR 604/SAO 37734/SAO 37735/ΟΣ 38/Σ 205/γ And/γ1 And/γ1 And A/γ1 And B/γ2 And,Almach,γ1 And,57 And,And,30.974804,42.329725,2.1,1.0,2016-07-20
214952,8636,112122,Tiaki,HR 8636/β Gru,Tiaki,β Gru,,Gru,340.666876,-46.884576,2.12,0.0,2017-09-05
8890,424,11767,Polaris,1 UMi/HR 424/WRH 39/Σ 93/α UMi,Polaris,α UMi,1 UMi,UMi,37.954561,89.264109,2.13,0.0,2016-06-30
102647,4534,57632,Denebola,94 Leo/HR 4534/RDR 3/β 604/β Leo,Denebola,β Leo,94 Leo,Leo,177.26491,14.572058,2.14,0.0,2016-06-30
66811,3165,39429,Naos,HR 3165/ζ Pup,Naos,ζ Pup,,Pup,120.896031,-40.003148,2.21,0.0,2016-08-21
80404,3699,45556,Aspidiske,HR 3699/ι Car,Aspidiske,ι Car,,Car,139.272529,-59.275232,2.21,0.0,2016-07-20
139006,5793,76267,Alphecca,5 CrB/HR 5793/α CrB,Alphecca,α CrB,5 CrB,CrB,233.67195,26.714693,2.22,0.0,2016-07-20
116656,5054,65378,Mizar,79 UMa/HD 116656/HD 116657/HIP 65378/HR 5054/HR 5055/PEA 1/SAO 28737/SAO 28738/SHY 247/SMR 4/Σ 1744/ζ UMa/ζ UMa A/ζ UMa C,Mizar,ζ UMa,79 UMa,UMa,200.981429,54.925362,2.23,1.0,2016-06-30
78647,3634,44816,Suhail,HR 3634/λ 109/λ Vel,Suhail,λ Vel,,Vel,136.998993,-43.432589,2.23,0.0,2016-08-21
194093,7796,100453,Sadr,37 Cyg/HR 7796/β 665/γ Cyg,Sadr,γ Cyg,37 Cyg,Cyg,305.557091,40.256679,2.23,0.0,2016-08-21
164058,6705,87833,Eltanin,33 Dra/HR 6705/β 633/γ Dra,Eltanin,γ Dra,33 Dra,Dra,269.151541,51.488896,2.24,0.0,2016-08-21
3712,168,3179,Schedar,18 Cas/H 5 18/HR 168/α Cas/β 1349,Schedar,α Cas,18 Cas,Cas,10.126838,56.537331,2.24,0.0,2016-08-21
36486,1852,25930,Mintaka,34 Ori/HD 36485/HD 36486/HEI 42/HIP 25930/HR 1851/HR 1852/SAO 132220/SAO 132221/Σ I 14/β 558/δ Ori/δ Ori D,Mintaka,δ Ori,34 Ori,Ori,83.001667,-0.299095,2.25,0.0,2016-07-20
432,21,746,Caph,11 Cas/AGC 15/HR 21/β Cas,Caph,β Cas,11 Cas,Cas,2.294522,59.149781,2.28,0.0,2016-06-30
151680,6241,82396,Larawag,26 Sco/HR 6241/ε Sco,Larawag,ε Sco,26 Sco,Sco,252.540878,-34.293232,2.29,0.0,2017-11-17
143275,5953,78401,Dschubba,7 Sco/HR 5953/LAB 3/δ Sco,Dschubba,δ Sco,7 Sco,Sco,240.083359,-22.62171,2.29,0.0,2016-08-21
95418,4295,53910,Merak,48 UMa/HR 4295/β UMa,Merak,β UMa,48 UMa,UMa,165.460319,56.382426,2.34,0.0,2016-06-30
129988,5506,72105,Izar,36 Boo/HD 129988/HD 129989/HIP 72105/HR 5505/HR 5506/SAO 83500/Σ 1877/ε Boo/ε Boo A/ε Boo B,Izar,ε Boo,36 Boo,Boo,221.246763,27.074207,2.35,1.0,2016-08-21
206778,8308,107315,Enif,8 Peg/HR 8308/S 798/ε Peg,Enif,ε Peg,8 Peg,Peg,326.046484,9.875009,2.38,0.0,2016-07-20
2261,99,2081,Ankaa,CRU 9004/HR 99/α Phe,Ankaa,α Phe,,Phe,6.570939,-42.306084,2.4,0.0,2016-07-20
103287,4554,58001,Phecda,64 UMa/HR 4554/SHY 227/γ UMa,Phecda,γ UMa,64 UMa,UMa,178.457679,53.694758,2.41,0.0,2016-07-20
155125,6378,84012,Sabik,35 Oph/DAL 52/HR 6378/β 1118/η Oph,Sabik,η Oph,35 Oph,Oph,257.594529,-15.724907,2.43,0.0,2016-08-21
217906,8775,113881,Scheat,53 Peg/HJ 1842/HR 8775/β Peg,Scheat,β Peg,53 Peg,Peg,345.943572,28.082785,2.44,0.0,2016-06-30
203280,8162,105199,Alderamin,5 Cep/HR 8162/α Cep/β 1502,Alderamin,α Cep,5 Cep,Cep,319.644885,62.585574,2.45,0.0,2016-07-20
58350,2827,35904,Aludra,31 CMa/HR 2827/SMY 2/η CMa,Aludra,η CMa,31 CMa,CMa,111.02376,-29.303106,2.45,0.0,2016-07-20
81188,3734,45941,Markeb,HR 3734/κ Vel,Markeb,κ Vel,,Vel,140.528407,-55.010667,2.47,0.0,2017-09-05
197989,7949,102488,Aljanah,53 Cyg/CHR 100/HR 7949/LEP 96/ΟΣ 594/β 676/ε Cyg,Aljanah,ε Cyg,53 Cyg,Cyg,311.552843,33.970257,2.48,0.0,2017-06-30
218045,8781,113963,Markab,54 Peg/HR 8781/α Peg,Markab,α Peg,54 Peg,Peg,346.190223,15.205267,2.49,0.0,2016-06-30
18884,911,14135,Menkar,92 Cet/HR 911/α Cet,Menkar,α Cet,92 Cet,Cet,45.569885,4.089737,2.54,0.0,2016-06-30
144217,5984,78820,Acrab,8 Sco A/H 3 7/HR 5984/OCC 9158/PWL 9001/β 947/β Sco/β1 Sco,Acrab,β1 Sco,,Sco,241.3593,-19.805453,2.56,0.0,2016-08-21
97603,4357,54872,Zosma,68 Leo/DAL 35/HR 4357/ΟΣ 573/β 1282/δ Leo,Zosma,δ Leo,68 Leo,Leo,168.527089,20.523718,2.56,0.0,2016-07-20
36673,1865,25985,Arneb,11 Lep/HJ 3766/HR 1865/α Lep,Arneb,α Lep,11 Lep,Lep,83.182567,-17.822289,2.58,0.0,2016-07-20
106625,4662,59803,Gienah,4 Crv/HR 4662/RBR 5/γ Crv,Gienah,γ Crv,4 Crv,Crv,183.951543,-17.541929,2.58,0.0,2016-11-06
176687,7194,93506,Ascella,38 Sgr/H 5 78/HDO 150/HR 7194/ζ Sgr,Ascella,ζ Sgr,38 Sgr,Sgr,285.653043,-29.880063,2.6,0.0,2016-09-12
135742,5685,74785,Zubeneschamali,27 Lib/HR 5685/RBR 7/β Lib,Zubeneschamali,β Lib,27 Lib,Lib,229.251724,-9.382914,2.61,0.0,2016-08-21
89484,4057,50583,Algieba,41 Leo/HD 89484/HD 89485/HIP 50583/HR 4057/HR 4058/SAO 81298/SAO 81299/Σ 1424/γ1 Leo/γ1 Leo A/γ1 Leo B/γ2 Leo,Algieba,γ1 Leo,41 Leo,Leo,154.993144,19.841489,2.61,1.0,2016-07-20
140573,5854,77070,Unukalhai,24 Ser/HJ 1277/HR 5854/α Ser,Unukalhai,α Ser,24 Ser,Ser,236.066976,6.425629,2.63,0.0,2016-08-21
37795,1956,26634,Phact,HDO 193/HR 1956/α Col,Phact,α Col,,Col,84.912254,-34.07411,2.65,0.0,2016-07-20
40312,2095,28380,Mahasim,37 Aur/HR 2095/ΟΣ 545/θ Aur,Mahasim,θ Aur,37 Aur,Aur,89.930292,37.212585,2.65,0.0,2017-06-30
109379,4786,61359,Kraz,9 Crv/HR 4786/β Crv,Kraz,β Crv,9 Crv,Crv,188.59681,-23.396759,2.65,0.0,2018-06-01
8538,403,6686,Ruchbah,37 Cas/HR 403/β pm 19/δ Cas,Ruchbah,δ Cas,37 Cas,Cas,21.453964,60.235284,2.66,0.0,2016-08-21
121370,5235,67927,Muphrid,8 Boo/HR 5235/SHJ 169/η Boo,Muphrid,η Boo,8 Boo,Boo,208.671161,18.397717,2.68,0.0,2016-09-12
31398,1577,23015,Hassaleh,3 Aur/HR 1577/ι Aur,Hassaleh,ι Aur,3 Aur,Aur,74.248421,33.1661,2.69,0.0,2017-06-30
11636,553,8903,Sheratan,6 Ari/HR 553/MKT 3/β Ari,Sheratan,β Ari,6 Ari,Ari,28.660046,20.808031,2.7,0.0,2016-07-20
158408,6508,85696,Lesath,34 Sco/HR 6508/υ Sco,Lesath,υ Sco,34 Sco,Sco,262.690979,-37.295813,2.7,0.0,2016-08-21
186791,7525,97278,Tarazed,50 Aql/DAL 44/HR 7525/SMR 36/β pm 198/γ Aql,Tarazed,γ Aql,50 Aql,Aql,296.564915,10.613262,2.72,0.0,2016-08-21
168454,6859,89931,Kaus Media,19 Sgr/HR 6859/δ Sgr/λ 350,Kaus Media,δ Sgr,19 Sgr,Sgr,275.248508,-29.828104,2.72,0.0,2016-07-20
146051,6056,79593,Yed Prior,1 Oph/HR 6056/β pm 164/δ Oph,Yed Prior,δ Oph,1 Oph,Oph,243.586411,-3.694323,2.73,0.0,2016-10-05
148387,6132,80331,Athebyne,14 Dra/HR 6132/SMY 9002/ΟΣ 312/β 9008/η Dra,Athebyne,η Dra,14 Dra,Dra,245.997858,61.514214,2.73,0.0,2017-09-05
106490,4656,59747,Imai,HR 4656/δ Cru,Imai,δ Cru,,Cru,183.78632,-58.748927,2.75,0.0,2018-08-10
130841,5531,72622,Zubenelgenubi,9 Lib/ALP 30/AOT 53/CAB 1/DSG 17/HR 5531/SHJ 186/α2 Lib,Zubenelgenubi,α2 Lib,9 Lib,Lib,222.719638,-16.041777,2.75,0.0,2016-08-21
161096,6603,86742,Cebalrai,60 Oph/HR 6603/β Oph,Cebalrai,β Oph,60 Oph,Oph,265.868136,4.5673,2.76,0.0,2016-08-21
148856,6148,80816,Kornephoros,27 Her/BLA 4/HR 6148/β Her/β pm 170,Kornephoros,β Her,27 Her,Her,247.554998,21.489611,2.78,0.0,2016-08-21
33111,1666,23875,Cursa,67 Eri/DRS 41/HR 1666/β Eri/β pm 74,Cursa,β Eri,67 Eri,Eri,76.96244,-5.086446,2.78,0.0,2016-07-20
159181,6536,85670,Rastaban,23 Dra/HR 6536/β 1090/β Dra,Rastaban,β Dra,23 Dra,Dra,262.608174,52.301389,2.79,0.0,2016-08-21
37043,1899,26241,Hatysa,44 Ori/CHR 250/HR 1899/Σ 752/ι Ori,Hatysa,ι Ori,44 Ori,Ori,83.858258,-5.909901,2.8,0.0,2017-09-05
149438,6165,81266,Paikauhale,23 Sco/HR 6165/RIZ 18/τ Sco,Paikauhale,τ Sco,23 Sco,Sco,248.970637,-28.216017,2.82,0.0,2018-08-10
169916,6913,90496,Kaus Borealis,22 Sgr/HR 6913/WFC 208/λ Sgr,Kaus Borealis,λ Sgr,22 Sgr,Sgr,276.992668,-25.421701,2.82,0.0,2016-07-20
886,39,1067,Algenib,88 Peg/HR 39/β pm 3/γ Peg,Algenib,γ Peg,88 Peg,Peg,3.308963,15.183594,2.83,0.0,2016-06-30
67523,3185,39757,Tureis,15 Pup/HR 3185/RST 5284/ρ Pup,Tureis,ρ Pup,15 Pup,Pup,121.886037,-24.304324,2.83,0.0,2016-09-12
36079,1829,25606,Nihal,9 Lep/HJ 3761/HR 1829/β 320/β Lep,Nihal,β Lep,9 Lep,Lep,82.061346,-20.759441,2.83,0.0,2016-07-20
113226,4932,63608,Vindemiatrix,47 Vir/HR 4932/β pm 147/ε Vir,Vindemiatrix,ε Vir,47 Vir,Vir,195.544157,10.959149,2.85,0.0,2016-07-20
23630,1165,17702,Alcyone,25 Tau/HL 23/HR 1165/OCC 251/Σ I 8/η Tau,Alcyone,η Tau,25 Tau,Tau,56.871152,24.105136,2.85,0.0,2016-06-30
207098,8322,107556,Deneb Algedi,49 Cap/HJ 3056/HR 8322/δ Cap,Deneb Algedi,δ Cap,49 Cap,Cap,326.760184,-16.127287,2.85,0.0,2017-02-01
44478,2286,30343,Tejat,13 Gem/HR 2286/Lβ 3/β 1059/μ Gem,Tejat,μ Gem,13 Gem,Gem,95.740112,22.513583,2.87,0.0,2017-02-01
178524,7264,94141,Albaldah,41 Sgr/HR 7264/π Sgr/φ 311,Albaldah,π Sgr,41 Sgr,Sgr,287.440971,-21.023615,2.88,0.0,2017-09-05
18622,897,13847,Acamar,HD 18622/HD 18623/HIP 13847/HR 897/HR 898/PZ 2/SAO 216113/SAO 216114/θ1 Eri/θ1 Eri A/θ1 Eri B/θ2 Eri,Acamar,θ1 Eri,,Eri,44.565311,-40.304672,2.88,1.0,2016-07-20
143018,5944,78265,Fang,6 Sco/HR 5944/SHT 60/β 622/π Sco,Fang,π Sco,6 Sco,Sco,239.712972,-26.114108,2.89,0.0,2017-06-30
58715,2845,36188,Gomeisa,3 CMi/HR 2845/JNN 7/SLE 571/β CMi/β pm 101,Gomeisa,β CMi,3 CMi,CMi,111.787674,8.289316,2.89,0.0,2016-07-20
112413,4915,63125,Cor Caroli,12 CVn A/HR 4915/Σ 1692/α2 CVn,Cor Caroli,α2 CVn,,CVn,194.006943,38.318376,2.89,0.0,2016-07-20
147165,6084,80112,Alniyat,20 Sco/BLM 4/H 4 121/HR 6084/NOR 1/σ Sco,Alniyat,σ Sco,20 Sco,Sco,245.297149,-25.592792,2.9,0.0,2017-02-01
186882,7528,97165,Fawaris,18 Cyg/DAL 37/HR 7528/Σ 2579/δ Cyg,Fawaris,δ Cyg,18 Cyg,Cyg,296.243658,45.13081,2.9,0.0,2018-06-01
204867,8232,106278,Sadalsuud,22 Aqr/H 5 76/HR 8232/β 73/β Aqr,Sadalsuud,β Aqr,22 Aqr,Aqr,322.889715,-5.571176,2.9,0.0,2016-08-21
215182,8650,112158,Matar,44 Peg/BLA 11/FYM 145/HR 8650/β 1144/η Peg,Matar,η Peg,44 Peg,Peg,340.750579,30.221244,2.93,0.0,2016-08-21
108767,4757,60965,Algorab,7 Crv/HR 4757/SHJ 145/δ Crv,Algorab,δ Crv,7 Crv,Crv,187.466063,-16.515431,2.94,0.0,2016-07-20
209750,8414,109074,Sadalmelik,34 Aqr/HR 8414/SKF 1651/α Aqr/β pm 232,Sadalmelik,α Aqr,34 Aqr,Aqr,331.445983,-0.319849,2.95,0.0,2016-08-21
25025,1231,18543,Zaurak,34 Eri/HJ 3608/HR 1231/γ Eri,Zaurak,γ Eri,34 Eri,Eri,59.50736,-13.508516,2.97,0.0,2016-07-20
37202,1910,26451,Tianguan,123 Tau/HR 1910/ζ Tau,Tianguan,ζ Tau,123 Tau,Tau,84.411189,21.142544,2.97,0.0,2017-06-30
165135,6746,88635,Alnasl,10 Sgr/HR 6746/γ Sgr/γ2 Sgr,Alnasl,γ Sgr,10 Sgr,Sgr,271.452025,-30.4241,2.98,0.0,2016-08-21
177724,7235,93747,Okab,17 Aql/DRS 63/HR 7235/POP 1225/β 287/ζ Aql,Okab,ζ Aql,17 Aql,Aql,286.352533,13.863477,2.99,0.0,2018-06-01
207971,8353,108085,Aldhanab,HR 8353/γ Gru,Aldhanab,γ Gru,,Gru,328.482192,-37.364855,3.0,0.0,2017-09-05
151890,6247,82514,Xamidimura,HR 6247/SHT 72/SKF 2608/WFC 181/μ1 Sco,Xamidimura,μ1 Sco,,Sco,252.96763,-38.04738,3.0,0.0,2017-09-05
137422,5735,75097,Pherkad,13 UMi/HR 5735/γ UMi,Pherkad,γ UMi,13 UMi,UMi,230.18215,71.834017,3.0,0.0,2016-08-21
44402,2282,30122,Furud,1 CMa/HR 2282/SMY 1/TOK 821/ζ CMa,Furud,ζ CMa,1 CMa,CMa,95.0783,-30.063367,3.02,0.0,2016-07-20
31964,1605,23416,Almaaz,7 Aur/HR 1605/SMR 25/STU 19/β 554/ε Aur,Almaaz,ε Aur,7 Aur,Aur,75.492219,43.823307,3.03,0.0,2017-02-01
127762,5435,71075,Seginus,27 Boo/BLM 3/HR 5435/β 616/γ Boo,Seginus,γ Boo,27 Boo,Boo,218.019466,38.308251,3.04,0.0,2016-08-21
193495,7776,100345,Dabih,9 Cap/BLA 7/HJ 2948/HR 7776/β Cap/β1 Cap,Dabih,β Cap,9 Cap,Cap,305.252803,-14.781405,3.05,0.0,2016-08-21
89758,4069,50801,Tania Australis,34 UMa/HR 4069/μ UMa,Tania Australis,μ UMa,34 UMa,UMa,155.58225,41.499519,3.06,0.0,2016-07-20
48329,2473,32246,Mebsuta,27 Gem/HR 2473/S 533/ε Gem,Mebsuta,ε Gem,27 Gem,Gem,100.983026,25.131127,3.06,0.0,2016-07-20
180711,7310,94376,Altais,57 Dra/HR 7310/β pm 186/δ Dra,Altais,δ Dra,57 Dra,Dra,288.13875,67.661541,3.07,0.0,2016-08-21
156164,6410,84379,Sarin,65 Her/BNU 5/HR 6410/Σ 3127/δ Her,Sarin,δ Her,65 Her,Her,258.757963,24.839204,3.12,0.0,2016-09-12
39425,2040,27628,Wazn,HR 2040/WFC 31/β Col,Wazn,β Col,,Col,87.739968,-35.76831,3.12,0.0,2016-07-20
76644,3569,44127,Talitha,9 UMa/HJ 2477/HR 3569/HU 628/ι UMa,Talitha,ι UMa,9 UMa,UMa,134.80189,48.041826,3.12,0.0,2016-07-20
155763,6396,83895,Aldhibah,22 Dra/HR 6396/STA 1/ζ Dra,Aldhibah,ζ Dra,22 Dra,Dra,257.19665,65.714684,3.17,0.0,2017-09-05
32630,1641,23767,Haedus,10 Aur/HR 1641/η Aur,Haedus,η Aur,10 Aur,Aur,76.628722,41.234476,3.18,0.0,2017-06-30
30652,1543,22449,Tabit,1 Ori/DAL 50/HR 1543/LAF 32/ΟΣ 560/π3 Ori,Tabit,π3 Ori,1 Ori,Ori,72.460045,6.961275,3.19,0.0,2017-09-05
161892,6630,87261,Fuyue,G Sco/λ 340,Fuyue,,,Sco,267.464503,-37.043305,3.19,0.0,2017-06-30
