HD,HR,HIP,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,Vmag,IsMultiple,UpdateName
71066,3302,40834,κ2 Vol,BSO 17/κ2 Vol,,κ2 Vol,,Vol,,,,0.0,
71701,3340,40888,θ Cha,I 799/θ Cha,,θ Cha,,Cha,,,,0.0,
69894,0,40925,HU 224,HU 224/ΟΣ 190,,,,,,,,0.0,
70088,0,40942,LEP 31,BVD 161/LEP 31,,,,,,,,0.0,
71576,3334,41003,η Vol,HJ 4103/η Vol,,η Vol,,Vol,,,,0.0,
70930,3294,41039,B Vel,B Vel/I 67,,,,,,,,0.0,
72204,0,41048,UC 1665,RST 2561/UC 1665,,,,,,,,0.0,
70761,3291,41074,HO 353,B 767/HO 353,,,,,,,,0.0,
69804,0,41114,Σ 1208,GAN 4/Σ 1208,,,,,,,,0.0,
70253,0,41153,STU 6,STU 6/ΟΣΣ 92,,,,,,,,0.0,
70734,3290,41163,21 Cnc,21 Cnc/A 2961,,,21 Cnc,Cnc,,,,0.0,
71104,0,41177,B 1985,B 1985/DAM 468,,,,,,,,0.0,
70923,0,41209,EGN 27,B 2527/EGN 27/ENG 35,,,,,,,,0.0,
70958,3297,41211,1 Hya,1 Hya/ALP 29/CHR 172/TOK 20,,,1 Hya,Hya,,,,0.0,
71304,0,41246,HJ 4091,DAW 194/HJ 4091,,,,,,,,0.0,
71302,3322,41250,CHR 226,CHR 226/RST 4888,,,,,,,,0.0,
71510,3330,41296,Δ 69,SZA 1/Δ 69,,,,,,,,0.0,
71487,3327,41361,HJ 4093,HD 71487/HD 71488/HIP 41361/HJ 4093/HJ 4093 A/HJ 4093 B/HR 3327/HR 3328/SAO 199222/SAO 199224/TOK 6,,,,,,,,1.0,
71297,3321,41375,2 Hya,2 Hya/DRS 43/H 6 118,,,2 Hya,Hya,,,,0.0,
71152,3312,41389,24 Cnc,24 Cnc/24 Cnc A/24 Cnc B/A 1746/HD 71152/HD 71153/HIP 41389/HR 3312/HR 3313/SAO 80184/SAO 80185/Σ 1224,,,24 Cnc,Cnc,,,,1.0,
0,0,41512,ES 1900,ES 1900/SKF 2177,,,,,,,,0.0,
71801,3343,41515,GLI 96,GLI 96/φ 314,,,,,,,,0.0,
71857,0,41517,COO 71,COO 71/I 9006,,,,,,,,0.0,
71933,0,41543,DON 253,DON 253/RSS 162,,,,,,,,0.0,
71663,3337,41564,A 551,A 551/Σ 1233,,,,,,,,0.0,
71555,3333,41578,29 Cnc,29 Cnc/OCC 554,,,29 Cnc,Cnc,,,,0.0,
72106,0,41650,SKF 1454,I 394/SKF 1454,,,,,,,,0.0,
71427,0,41651,HJ 2445,HDS 1213/HJ 2445/SIN 39,,,,,,,,0.0,
72634,0,41667,HJ 4110,HDS 1215/HJ 4110,,,,,,,,0.0,
71705,0,41739,COU 2684,COU 2684/YSC 3,,,,,,,,0.0,
72370,0,41744,DAM 1415,DAM 1415/RST 4889,,,,,,,,0.0,
72362,0,41880,RST 4890,HJ 96/RST 4890,,,,,,,,0.0,
72878,0,41906,HDS 1221,HDS 1221/RST 332,,,,,,,,0.0,
73390,3415,42129,e1 Car,HDS 1234/e1 Car,,,,,,,,0.0,
73389,3414,42134,e2 Car,HDS 1233/e2 Car,,,,,,,,0.0,
72945,3395,42172,ANT 4,ANT 4/Σ 1245,,,,,,,,0.0,
73503,0,42216,HDS 1237,HDS 1237/RST 2570,,,,,,,,0.0,
73350,0,42333,HJ 99,HJ 99/JNN 237,,,,,,,,0.0,
73495,3420,42334,η Pyx,RST 2571/VIG 11/η Pyx,,η Pyx,,Pyx,,,,0.0,
73952,3435,42400,HDO 203,HDO 203/HUB 8,,,,,,,,0.0,
73344,0,42403,WIS 150,TOK 519/WIS 150,,,,,,,,0.0,
74460,0,42407,DAM 1464,DAM 1464/GLI 99,,,,,,,,0.0,
74045,0,42424,TOK 356,HU 1443/TOK 356,,,,,,,,0.0,
74405,3460,42425,θ Vol,DON 271/HJ 4134/θ Vol,,θ Vol,,Vol,,,,0.0,
73752,3430,42430,JNN 238,JNN 238/β 208,,,,,,,,0.0,
73898,3433,42483,ζ Pyx,HJ 4120/ζ Pyx,,ζ Pyx,,Pyx,,,,0.0,
73598,0,42497,BKO 34,BKO 34/CHR 156/β 584,,,,,,,,0.0,
74006,3438,42515,β Pyx,RST 4894/β Pyx,,β Pyx,,Pyx,,,,0.0,
73665,3427,42516,39 Cnc,39 Cnc/ENG 37/SLE 335/SLE 685,,,39 Cnc,Cnc,,,,0.0,
73666,0,42523,β pm 120,40 Cnc/CHR 28/β pm 120,,β pm 120,40 Cnc,Cnc,,,,0.0,
74105,0,42544,HDS 1247,HDS 1247/Δ 72,,,,,,,,0.0,
73710,3428,42549,SMR 30,SMR 30/Σ 1254,,,,,,,,0.0,
74375,3457,42568,d Car,JSP 295/d Car,,,,,,,,0.0,
74180,3445,42570,b Vel,HJ 4127/b Vel,,,,,,,,0.0,
75416,3502,42637,η Cha,BNK 3/SHY 528/η Cha,,η Cha,,Cha,,,,0.0,
